mean 100 episode reward,steps,% time spent exploring,episodes
-1.2,137451,93,38000
-1.3,137830,93,38100
-1.4,138237,93,38200
-1.2,138596,93,38300
-1.2,138973,93,38400
-1.4,139383,93,38500
-1.4,139771,93,38600
-1.4,140127,93,38700
-1.3,140534,93,38800
-1.3,140861,93,38900
-1.4,141237,93,39000
-1.3,141615,93,39100
-1.3,141937,93,39200
-1.3,142326,93,39300
-1.4,142721,93,39400
-1.2,143053,92,39500
-1.4,143398,92,39600
-1.1,143767,92,39700
-1.4,144164,92,39800
-1.3,144543,92,39900
-1.1,144877,92,40000
-1.2,145240,92,40100
-1.4,145581,92,40200
-1.3,145966,92,40300
-1.3,146330,92,40400
-1.4,146723,92,40500
-1.2,147061,92,40600
-1.6,147422,92,40700
-1.2,147777,92,40800
-1.2,148136,92,40900
-1.4,148506,92,41000
-1.4,148886,92,41100
-1.2,149232,92,41200
-1.3,149594,92,41300
-1.4,149950,92,41400
-1.2,150318,92,41500
-1.3,150713,92,41600
-1.2,151072,92,41700
-1.4,151471,92,41800
-1.2,151829,92,41900
-1.2,152202,92,42000
-1.3,152578,92,42100
-1.3,152938,92,42200
-1.4,153318,92,42300
-1.3,153707,92,42400
-1.4,154063,92,42500
-1.4,154491,92,42600
-1.4,154867,92,42700
-1.4,155253,92,42800
-1.3,155675,92,42900
-1.4,156045,92,43000
-1.1,156373,92,43100
-1.4,156771,92,43200
-1.3,157145,92,43300
-1.2,157507,92,43400
-1.2,157839,92,43500
-1.3,158165,92,43600
-1.3,158523,92,43700
-1.4,158873,92,43800
-1.4,159239,92,43900
-1.4,159604,92,44000
-1.2,159943,92,44100
-1.5,160298,92,44200
-1.4,160640,92,44300
-1.3,161002,92,44400
-1.2,161345,92,44500
-1.6,161736,92,44600
-1.2,162068,92,44700
-1.5,162441,92,44800
-1.3,162791,92,44900
-1.4,163109,92,45000
-1.6,163471,91,45100
-1.4,163812,91,45200
-1.3,164134,91,45300
-1.4,164526,91,45400
-1.4,164886,91,45500
-1.3,165246,91,45600
-1.4,165602,91,45700
-1.4,165971,91,45800
-1.3,166317,91,45900
-1.2,166652,91,46000
-1.2,167017,91,46100
-1.2,167329,91,46200
-1.5,167686,91,46300
-1.2,168045,91,46400
-1.2,168407,91,46500
-1.4,168768,91,46600
-1.3,169127,91,46700
-1.2,169483,91,46800
-1.2,169824,91,46900
-1.2,170169,91,47000
-1.3,170531,91,47100
-1.3,170921,91,47200
-1.3,171308,91,47300
-1.3,171695,91,47400
-1.3,172102,91,47500
-1.5,172520,91,47600
-1.2,172884,91,47700
-1.4,173292,91,47800
-1.2,173664,91,47900
-1.4,174036,91,48000
-1.4,174392,91,48100
-1.5,174794,91,48200
-1.1,175168,91,48300
-1.2,175554,91,48400
-1.3,175929,91,48500
-1.2,176290,91,48600
-1.3,176660,91,48700
-1.2,177026,91,48800
-1.3,177416,91,48900
-1.2,177754,91,49000
-1.3,178165,91,49100
-1.4,178528,91,49200
-1.1,178870,91,49300
-1.2,179257,91,49400
-1.2,179650,91,49500
-1.2,179994,91,49600
-1.2,180389,91,49700
-1.3,180737,91,49800
-1.4,181124,91,49900
-1.5,181494,91,50000
-1.3,181854,91,50100
-1.3,182226,91,50200
-1.3,182599,91,50300
-1.2,182974,91,50400
-1.3,183340,91,50500
-1.4,183750,90,50600
-1.4,184117,90,50700
-1.3,184484,90,50800
-1.3,184873,90,50900
-1.1,185232,90,51000
-1.3,185601,90,51100
-1.3,186025,90,51200
-1.2,186391,90,51300
-1.3,186748,90,51400
-1.2,187125,90,51500
-1.2,187484,90,51600
-1.4,187859,90,51700
-1.6,188262,90,51800
-1.5,188667,90,51900
-1.4,189040,90,52000
-1.3,189375,90,52100
-1.4,189755,90,52200
-1.0,190110,90,52300
-1.4,190493,90,52400
-1.3,190851,90,52500
-1.3,191245,90,52600
-1.2,191604,90,52700
-1.3,191981,90,52800
-1.2,192320,90,52900
-1.3,192703,90,53000
-1.4,193067,90,53100
-1.2,193427,90,53200
-1.2,193809,90,53300
-1.3,194172,90,53400
-1.4,194597,90,53500
-1.3,194973,90,53600
-1.4,195339,90,53700
-1.3,195740,90,53800
-1.2,196091,90,53900
-1.3,196459,90,54000
-1.4,196836,90,54100
-1.5,197241,90,54200
-1.6,197602,90,54300
-1.3,197975,90,54400
-1.1,198288,90,54500
-1.4,198663,90,54600
-1.3,199066,90,54700
-1.4,199433,90,54800
-1.4,199838,90,54900
-1.4,200207,90,55000
-1.3,200543,90,55100
-1.3,200896,90,55200
-1.4,201272,90,55300
-1.3,201631,90,55400
-1.5,202007,90,55500
-1.5,202345,90,55600
-1.7,202757,90,55700
-1.5,203161,90,55800
-1.5,203562,90,55900
-1.5,203904,90,56000
-1.5,204261,89,56100
-1.4,204635,89,56200
-1.5,205029,89,56300
-1.4,205427,89,56400
-1.5,205812,89,56500
-1.1,206161,89,56600
-1.3,206539,89,56700
-1.4,206905,89,56800
-1.4,207265,89,56900
-1.3,207638,89,57000
-1.3,208015,89,57100
-1.5,208415,89,57200
-1.4,208773,89,57300
-1.3,209132,89,57400
-1.0,209480,89,57500
-1.5,209873,89,57600
-1.4,210277,89,57700
-1.2,210641,89,57800
-1.6,211028,89,57900
-1.4,211411,89,58000
-1.4,211792,89,58100
-1.3,212215,89,58200
-1.4,212595,89,58300
-1.5,212972,89,58400
-1.5,213380,89,58500
-1.3,213762,89,58600
-1.5,214150,89,58700
-1.3,214543,89,58800
-1.2,214939,89,58900
-1.5,215328,89,59000
-1.7,215755,89,59100
-1.3,216127,89,59200
-1.4,216506,89,59300
-1.4,216932,89,59400
-1.3,217309,89,59500
-1.3,217686,89,59600
-1.4,218089,89,59700
-1.5,218521,89,59800
-1.2,218886,89,59900
-1.5,219321,89,60000
-1.3,219687,89,60100
-1.2,220064,89,60200
-1.2,220442,89,60300
-1.2,220853,89,60400
-1.3,221205,89,60500
-1.4,221625,89,60600
-1.1,221983,89,60700
-1.2,222323,89,60800
-1.3,222670,89,60900
-1.2,223049,89,61000
-1.4,223439,89,61100
-1.2,223796,89,61200
-1.1,224168,89,61300
-1.5,224557,88,61400
-1.3,224961,88,61500
-1.1,225329,88,61600
-1.2,225706,88,61700
-1.3,226029,88,61800
-1.2,226400,88,61900
-1.6,226777,88,62000
-1.4,227181,88,62100
-1.4,227577,88,62200
-1.5,227955,88,62300
-1.6,228329,88,62400
-1.4,228695,88,62500
-1.5,229094,88,62600
-1.4,229510,88,62700
-1.2,229853,88,62800
-1.3,230266,88,62900
-1.3,230631,88,63000
