loss_pol_entpen,EpThisIter,EpLenMean,loss_kl,ev_tdlam_before,loss_pol_surr,EpisodesSoFar,EpRewMean,loss_ent,TimeElapsed,loss_vf_loss,TimestepsSoFar
-0.0126292845,3,56.33,0.006578881,0.3413512706756592,-0.0052902233,232,40.25614053271711,1.2629285,61.75476002693176,96.124596,7680
-0.012513805,4,57.34,0.0024343494,0.3638274669647217,-0.006546677,236,41.2341713463515,1.2513806,63.73615097999573,99.70391,7936
-0.012467648,3,59.57,0.014397164,0.5063174068927765,-0.012055634,239,42.681761983260515,1.2467648,65.50475811958313,116.011955,8192
-0.012482457,6,59.11,0.0037331767,0.3244641423225403,-0.010195956,245,42.17292909376323,1.2482457,67.63811135292053,142.88364,8448
-0.012497797,3,60.65,0.0033847326,0.5244122743606567,8.0209225e-05,248,43.120147336646916,1.2497797,69.39789032936096,107.2245,8704
-0.012473451,5,60.61,0.013494337,0.41372591257095337,-0.012385465,253,42.956595999524,1.2473451,71.36858177185059,113.75084,8960
-0.012446904,3,61.49,0.012530405,0.4009806513786316,-0.019901214,256,43.43040689587593,1.2446904,73.27057933807373,109.16134,9216
-0.012411912,5,61.52,0.0022448495,0.37315672636032104,-0.0036440324,261,43.521115953624246,1.2411913,75.09293222427368,123.91734,9472
-0.012435766,3,62.21,0.002717264,0.3592512607574463,-0.006465733,264,44.05066103607416,1.2435766,76.94028449058533,103.45938,9728
-0.012429408,3,63.44,0.0022379535,0.4447914958000183,-0.0026737177,267,44.88339491188526,1.2429408,78.78502821922302,118.12339,9984
-0.012396324,3,65.49,0.0081154285,0.5520653128623962,-0.020953448,270,46.379432189464566,1.2396325,80.7168755531311,72.711426,10240
-0.012351838,5,66.35,0.009176623,0.33029651641845703,-0.008632235,275,46.80716941177845,1.2351838,82.76599931716919,130.42003,10496
-0.012351547,4,66.35,0.006837733,0.487571120262146,-0.009548726,279,46.56545285701752,1.2351547,84.88068890571594,120.16507,10752
-0.012346268,2,66.98,0.007734837,0.40189218521118164,-0.011251048,281,47.085102654099465,1.2346268,87.0402204990387,100.979515,11008
-0.012281867,4,68.01,0.0049439655,0.4228900074958801,-0.008860925,285,47.809195291996005,1.2281867,89.24041247367859,102.06873,11264
-0.012257699,3,68.65,0.0027972339,0.49351823329925537,-0.009414321,288,48.13568750441075,1.2257699,91.22700619697571,102.520386,11520
-0.012249412,2,68.88,0.0027600823,0.5303998589515686,-0.004214205,290,48.20670747458935,1.2249413,93.3729977607727,94.324974,11776
-0.01224112,6,67.47,0.0012449971,0.3866111636161804,-0.0090487115,296,46.96428965091705,1.224112,95.1836199760437,170.93944,12032
-0.012196607,3,67.92,0.0026483214,0.4729735255241394,-0.007915894,299,47.09751049131155,1.2196608,97.0644519329071,96.84427,12288
-0.012172597,3,68.87,0.0019092634,0.5504274666309357,-0.0048724674,302,47.510058890283105,1.2172598,98.90975499153137,99.89327,12544
-0.012200153,3,67.95,0.0019819378,0.5258029699325562,-0.0029150043,305,47.08856965959072,1.2200154,100.8340494632721,82.8755,12800
-0.012226399,3,69.46,0.004378544,0.4636690020561218,-0.014947284,308,48.4754063129425,1.2226399,102.79426717758179,80.58063,13056
-0.01223523,5,68.65,0.0037292049,0.2556142210960388,-0.013911983,313,47.767830251678824,1.223523,104.73685097694397,130.67892,13312
-0.012254968,3,69.3,0.009075696,0.5314102172851562,-0.009705925,316,48.21102018259466,1.2254969,106.59999346733093,100.50632,13568
-0.012291709,3,69.43,0.008596353,0.5375224649906158,-0.012627497,319,48.27513135634363,1.2291709,108.43916583061218,111.48988,13824
-0.012344361,3,69.47,0.0031335726,0.3755331039428711,-0.01112688,322,48.409906061217185,1.2344362,110.38243412971497,107.71373,14080
-0.012343955,4,70.17,0.0034768954,0.48842179775238037,-0.011945246,326,49.02418891958892,1.2343955,112.4516544342041,114.26801,14336
-0.012274991,2,71.15,0.004474479,0.5422507524490356,-0.00096590817,328,49.875518174245954,1.2274991,114.30426907539368,96.3074,14592
-0.012277497,3,72.82,0.0065512722,0.5770533680915833,-0.0070022475,331,51.26878819234669,1.2277497,116.09930539131165,115.08595,14848
-0.012264333,3,72.69,0.003936758,0.42642444372177124,-0.009221977,334,50.887956017926335,1.2264333,117.93501281738281,135.02072,15104
-0.012251557,3,72.92,0.0034586242,0.4777056574821472,-0.00957476,337,51.172235283628105,1.2251557,119.71537280082703,151.50476,15360
-0.012225493,3,72.92,0.0026636156,0.5988261699676514,-0.007831395,340,51.36211057879031,1.2225493,121.61907124519348,90.82715,15616
-0.012218484,3,74.73,0.0027515115,0.5770661234855652,-0.00599847,343,52.7496309427172,1.2218484,123.4057469367981,108.34831,15872
-0.012262085,2,76.59,0.0006105525,0.5442189872264862,-0.00070418045,345,54.13687345869839,1.2262086,125.29231333732605,83.65383,16128
-0.012225241,4,76.65,0.0023017437,0.46917253732681274,-0.00802363,349,54.384885847046974,1.2225242,127.05075240135193,147.26239,16384
-0.012191592,2,77.64,0.001076038,0.5941149592399597,-0.0033541247,351,55.17635358758271,1.2191592,128.98078060150146,89.09786,16640
-0.012193847,3,78.62,0.0073786704,0.5797067582607269,-0.006619731,354,55.94567905068398,1.2193848,130.80381846427917,110.20709,16896
-0.012220392,2,79.5,0.0051261843,0.5551233887672424,-0.005770241,356,56.59349817812443,1.2220392,132.69775342941284,90.093414,17152
-0.012230692,4,80.51,0.00037122495,0.5132960081100464,0.00018933555,360,57.232049438953396,1.2230693,134.52678418159485,139.0166,17408
-0.012235156,2,80.44,0.0024054633,0.49951648712158203,-0.0046971925,362,57.33842253088951,1.2235156,136.46196103096008,83.45534,17664
-0.012232909,4,81.2,0.00047652656,0.4822389483451843,-0.002142286,366,57.92006725728512,1.2232909,138.29124975204468,148.10243,17920
-0.012196875,2,81.06,0.0015911539,0.49764305353164673,-0.0032838671,368,58.113584548830985,1.2196876,140.20764756202698,81.50326,18176
-0.01215607,3,81.22,0.010424847,0.5813880562782288,-0.025702242,371,58.15099914252758,1.215607,142.31948280334473,124.27959,18432
-0.012084609,2,82.96,0.0040886262,0.4993681311607361,-0.0060067065,373,59.393274482488636,1.2084609,144.1829698085785,128.82185,18688
-0.012081419,4,82.98,0.0062719397,0.526466578245163,-0.007632213,377,59.49616637408733,1.2081419,146.3834524154663,126.48845,18944
-0.012072844,2,83.96,0.0005611228,0.5655131340026855,-0.00030755624,379,60.201387634277346,1.2072845,148.40681290626526,96.62578,19200
-0.012111619,3,84.08,0.014128269,0.5907686650753021,-0.0120078195,382,60.141709079742434,1.211162,150.22100567817688,118.26829,19456
